coreVoltage,frequency,averageHashRate,averageTemperature,averageVRTemp,averagePower,efficiencyJTH,errorPercentage,sourceTag
1100.0,780.0,766.9584438,43.625,56.8571,45.460219,59.27338,3.680692,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1120.0,780.0,1110.6413923,44.625,57.5714,46.277288,41.667174,4.646911,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1140.0,780.0,1567.4398542,44.4643,57.7143,46.928982,29.939893,2.21998,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1150.0,750.0,1513.5464477,38.4375,46.0,44.34488,29.298658,0.588488,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1160.0,750.0,1532.0148316,38.25,45.0,45.018324,29.385045,1.467063,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1160.0,780.0,1898.2528774,45.3929,58.0,47.742179,25.15059,2.207263,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1170.0,750.0,1836.9575196,38.3125,45.0,44.96225,24.476478,1.75576,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1180.0,750.0,2223.4592285,38.1875,44.0,44.875786,20.182869,2.599151,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1180.0,780.0,2342.4752023,45.7321,58.1429,48.325948,20.630292,1.298762,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1180.0,800.0,1623.0681153,39.8125,47.0,48.976379,30.175184,0.006312,benchmark_23743b2b-717b-478d-a84c-ae72e5ce9722.csv
1190.0,750.0,2279.7686767,38.75,45.0,45.621979,20.01167,1.583798,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1200.0,750.0,2592.8718261,38.9375,45.0,45.625915,17.596672,2.703302,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1200.0,780.0,2729.1449498,46.6429,59.0,49.222027,18.035695,1.545818,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1200.0,805.0,2730.2487095,47.5893,60.1429,50.692345,18.566933,3.220109,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1210.0,750.0,2881.4935303,38.8125,44.5,45.60128,15.825571,4.833493,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1210.0,800.0,2810.6265869,57.25,65.0,53.298081,18.96306,1.765976,benchmark_c9bbf75a-f7ff-4c46-b084-128a9b14bf81.csv
1220.0,780.0,3127.4725168,46.8929,59.0,49.798754,15.923003,1.230685,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1230.0,815.0,3309.7017822,59.1875,68.0,55.628053,16.807573,0.434938,benchmark_c9bbf75a-f7ff-4c46-b084-128a9b14bf81.csv
1240.0,750.0,3051.1447754,40.4375,46.0,47.620827,15.607528,0.979601,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1240.0,765.0,3097.1009522,41.0,46.5,48.519638,15.666147,0.905472,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1240.0,780.0,3148.7416992,48.0,60.1429,51.26801,16.282063,0.445215,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1240.0,805.0,3239.6090262,49.5536,62.0,52.977239,16.352973,0.480648,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1240.0,825.0,2879.7755127,42.875,49.0,52.658249,18.28554,0.786457,benchmark_23743b2b-717b-478d-a84c-ae72e5ce9722.csv
1240.0,850.0,2592.0126954,44.4375,51.0,55.153931,21.278418,0.514708,benchmark_23743b2b-717b-478d-a84c-ae72e5ce9722.csv
1250.0,780.0,3164.5319824,42.5,48.0,50.31433,15.899454,0.429289,benchmark_1b543b0d-7b5f-479e-9f9f-da33c597e47e.csv
1250.0,875.0,3562.2458496,60.125,70.0,60.914613,17.100059,0.477591,benchmark_c9bbf75a-f7ff-4c46-b084-128a9b14bf81.csv
1260.0,780.0,3169.1950335,50.8929,63.0,53.559579,16.900058,0.381307,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1260.0,800.0,3280.0664062,42.375,48.0,52.053224,15.869564,0.418867,benchmark_23743b2b-717b-478d-a84c-ae72e5ce9722.csv
1260.0,830.0,3407.9952218,53.4107,66.4286,56.857076,16.683438,0.383013,benchmark_8677dce6-323a-48ea-89b2-ae4448a224d3.csv
1270.0,707.5,2945.4885254,39.225,44.9068,47.31781,16.06,0.34,autotune_export_192.168.0.2_1770753831760.csv
1270.0,720.0,2853.576416,39.775,45.091,48.186585,16.89,0.32,autotune_export_192.168.0.2_1770753831760.csv
1270.0,726.25,3024.5158691,40.05,45.5138,48.384029,16.0,0.32,autotune_export_192.168.0.2_1770753831760.csv
1270.0,738.75,3047.7089844,40.575,46.2567,49.252808,16.16,0.36,autotune_export_192.168.0.2_1770753831760.csv
1270.0,751.25,3081.2094727,41.05,46.9462,49.963627,16.22,0.39,autotune_export_192.168.0.2_1770753831760.csv
1270.0,757.5,3052.862793,41.3,47.3466,50.39801,16.51,0.39,autotune_export_192.168.0.2_1770753831760.csv
1270.0,770.0,3176.5576172,41.925,47.5936,51.227299,16.13,0.37,autotune_export_192.168.0.2_1770753831760.csv
1270.0,782.5,3195.4555664,42.575,48.4849,51.93811,16.25,0.37,autotune_export_192.168.0.2_1770753831760.csv
1270.0,788.75,3228.956543,42.9,48.9739,52.411987,16.23,0.41,autotune_export_192.168.0.2_1770753831760.csv
1270.0,795.0,3231.5334473,43.175,49.4076,52.727905,16.32,0.47,autotune_export_192.168.0.2_1770753831760.csv
1270.0,813.75,3290.8039551,44.075,49.9806,54.070553,16.43,0.5,autotune_export_192.168.0.2_1770753831760.csv
1270.0,820.0,3215.2124023,44.375,50.4438,54.465454,16.94,0.49,autotune_export_192.168.0.2_1770753831760.csv
